Name,Address,Website,Contact,JDVerified
 Saint Teresa School,"Kaulagarh, Dehradun - 248003",http://https://stteresaschool.in/cms/index,+919759357873,Not Verified
 Indian Public School,"Rajawala, Via Prem Nagar, Prem Nagar, Dehradun - 248007, Ifica University",http://www.indianpublicschool.com,1352694771+919568012777,Not Verified
 Sanguine Public School,"Dinkar Colony, Vikasnagar, Dehradun - 248198",http://sanguinepublicschool.co.in/,+911360253134,Not Verified
 Shri Guru Ram RAI Public School,"Dehradun Cantt, Dehradun - 248003, Vasant Vihar",http://www.sgrrvasantvihar.com,1352763315,Not Verified
 Edify School Dehradun,"Holkar Estate, Clement Town, Cantt Road, Bindaal Tirahya, Krishna Nagar, Dehradun - 248003",None,+917055511150,Not Verified
 Wt It Solutions Pvt Ltd,"Rajeshwar Nagar Phasei, Aman Vihar, Sahastradhara Road, Chironwali, Dehradun - 248001",http://wtsolutions.cc/,1352970005+918266055530,Not Verified
 Radiant Public School,"Doiwala, Dehradun - 248140",http://radiantpublicschoolddun.com/,+919897420695,Not Verified
 Elite Institute For English Language,"40 Rajendra Nagar, Kaulagarh Road, Dehradun City, Dehradun - 248001, The Cherry Kids School",None,+919152607535,Verified
 Shri Shri Mad Dayanand Arsh Jyotir Math Gurukul,"Petrolium University Road, Pondha, Dehradun - 248007",None,1352102451+918810005096,Not Verified
 Doon Valley Public School,"Doon Valley Public School, Dehradun - 248001, Garhi Cantt",None,1352753710,Not Verified
 Chandrawati Tiwari Public School,"Kedarpur Village Road, Banjarawala, Dehradun - 248001",None,+917900503673,Not Verified
 Chandrawati Tiwari Public School,"Kedarpur Village Road, Banjarawala, Dehradun - 248001",None,+917900503673,Not Verified
 Beverly Hills School,"Anand Jyoti, Sahastradhara Road, Andheri East, Dehradun - 400099, Opposite Ekta Vihar",http://www.beverlyhills.co.in,13527816291352659565,Not Verified
 Shining Star School,"L/2/82-Mdda Colony, Kedarpuram, Mdda Colony, Kedar Puram, Dehradun - 248001",None,1352665702,Not Verified
 Toppers International School,"2, New Sahastradhara Road, Dehradun - 248001, Near Easy Day,Raipur Crossing",http://www.schoolsindehradun.com,+919837304406,Not Verified
